Dim1,Dim1Type,TimeDimensionValue,Value,SpatialDimType,SpatialDim
BTSX,SEX,2001,839 [707-970],COUNTRY,COG
BTSX,SEX,2001,8605 [7527-9775],COUNTRY,UKR
BTSX,SEX,2001,8695 [7235-10155],COUNTRY,KEN
BTSX,SEX,2001,91668 [74221-108311],REGION,EMR
BTSX,SEX,2001,96 [77-116],COUNTRY,BLZ
BTSX,SEX,2001,9737 [7809-11665],COUNTRY,MMR
BTSX,SEX,2001,988 [862-1126],COUNTRY,AUT
BTSX,SEX,2001,9998 [8254-11577],COUNTRY,KOR
BTSX,SEX,2002,104 [88-121],COUNTRY,CPV
BTSX,SEX,2002,1052 [836-1267],COUNTRY,LBR
BTSX,SEX,2002,1096 [958-1233],COUNTRY,PNG
BTSX,SEX,2002,1102 [958-1257],COUNTRY,NLD
BTSX,SEX,2002,11043 [8970-13116],COUNTRY,TZA
BTSX,SEX,2002,1105 [1000-1210],COUNTRY,HND
BTSX,SEX,2002,116667 [92580-140757],WORLDBANKINCOMEGROUP,WB_LI
BTSX,SEX,2002,118 [84-147],COUNTRY,CYP
BTSX,SEX,2002,1188 [573-2463],COUNTRY,LBY
BTSX,SEX,2002,1202 [919-1485],COUNTRY,CAF
BTSX,SEX,2002,1210432 [1021437-1396245],REGION,GLOBAL
BTSX,SEX,2002,1235 [1089-1381],COUNTRY,TJK
BTSX,SEX,2002,1245 [1010-1479],COUNTRY,JOR
BTSX,SEX,2002,13 [9-19],COUNTRY,TON
BTSX,SEX,2002,131414 [120301-143408],REGION,EUR
BTSX,SEX,2002,1316 [1049-1583],COUNTRY,SSD
BTSX,SEX,2002,1325 [1172-1478],COUNTRY,BOL
BTSX,SEX,2002,134 [102-165],COUNTRY,GNQ
BTSX,SEX,2002,134 [113-156],COUNTRY,TLS
BTSX,SEX,2002,139 [106-177],COUNTRY,BHR
BTSX,SEX,2002,1437 [1272-1611],COUNTRY,BEL
BTSX,SEX,2002,144282 [132222-156466],WORLDBANKINCOMEGROUP,WB_HI
BTSX,SEX,2002,144994 [133521-156968],REGION,AMR
BTSX,SEX,2002,14504 [13606-15180],COUNTRY,JPN
BTSX,SEX,2002,14626 [13838-15448],COUNTRY,MEX
BTSX,SEX,2002,1474 [1285-1673],COUNTRY,CZE
BTSX,SEX,2002,1488 [1297-1696],COUNTRY,CUB
BTSX,SEX,2002,152 [126-178],COUNTRY,COM
BTSX,SEX,2002,1553 [1226-1880],COUNTRY,SLE
BTSX,SEX,2002,16 [10-24],COUNTRY,FSM
BTSX,SEX,2002,16 [12-21],COUNTRY,SYC
BTSX,SEX,2002,16 [13-20],COUNTRY,MLT
BTSX,SEX,2002,1601 [1296-1906],COUNTRY,TGO
BTSX,SEX,2002,1642 [1433-1875],COUNTRY,HUN
BTSX,SEX,2002,1658 [1377-1940],COUNTRY,HTI
BTSX,SEX,2002,17292 [12877-21707],COUNTRY,ETH
BTSX,SEX,2002,1768 [1552-1999],COUNTRY,AUS
BTSX,SEX,2002,17830 [14033-21627],COUNTRY,BGD
BTSX,SEX,2002,178686 [135478-207480],COUNTRY,IND
BTSX,SEX,2002,179 [134-235],COUNTRY,GUY
BTSX,SEX,2002,181 [141-232],COUNTRY,MKD
BTSX,SEX,2002,1832 [1635-2043],COUNTRY,GRC
BTSX,SEX,2002,18435 [13559-23079],COUNTRY,ZAF
